name,longName,status,rfsDate,kenyanLandings,owners,designCapacity,note,lastVerified,dataConfidence,sourceLabels,sourceUrls,dc254Article
TEAMS,The East African Marine System,In service,2009,Mombasa,Telkom Kenya on behalf of the Government of Kenya,"1.28 Tbps at launch, subsequently upgraded",Kenya's first submarine cable. Cut international bandwidth costs by over 90% and connected Kenya to the UAE and onwards to Europe and Asia.,2026-09,High,Telkom Kenya (TEAMS operator),https://www.telkom.co.ke,submarine-cables-landing-mombasa
SEACOM,,In service,2009,Mombasa,Privately owned (SEACOM),,"Connects South Africa, Mozambique, Tanzania and Kenya to Europe and India. Played a crucial role in breaking East Africa's bandwidth monopoly.",2026-09,High,SEACOM corporate site,https://seacom.mu,submarine-cables-landing-mombasa
EASSy,Eastern Africa Submarine System,In service,2010,Mombasa (branch),21-member consortium,Upgraded to 48 Tbps (reported),"Runs from South Africa to Sudan with a Mombasa branch, connecting to Europe via multiple landing points.",2026-09,High,EASSy consortium via WIOCC,https://wiocc.net,submarine-cables-landing-mombasa
LION2,Lower Indian Ocean Network 2,In service,2012,Mombasa,Orange-led consortium,,Links Mombasa to Madagascar and Réunion; ready for service since April 2012.,2026-09,High,Orange (LION2 consortium lead),https://www.orange.com,submarine-cables-landing-mombasa
DARE1,Djibouti Africa Regional Express,In service,2021,Mombasa,Djibouti Telecom-led consortium,,"In service since February 2021, connecting Djibouti, Mogadishu and Mombasa; designed to add diversity for landlocked East African nations.",2026-09,High,"SubmarineNetworks, DARE-1 ready for service (1 Apr 2021)",https://www.submarinenetworks.com,submarine-cables-landing-mombasa
PEACE,Pakistan and East Africa Connecting Europe,In service,2022,Mombasa (branch),"Huawei Marine Networks-built, PEACE consortium",,"Provides a new route to Europe via Pakistan and the Middle East, with a branch landing in Mombasa.",2026-09,Medium,PEACE Cable corporate site,https://peacecable.com,submarine-cables-landing-mombasa
2Africa,,In service,2024,Mombasa; Mtwapa,Meta-led consortium,180 Tbps design capacity,One of the largest subsea projects globally. Its Kenya segment went live in June 2024; the core system was completed in November 2025.,2026-09,High,"DataCenterDynamics, 2Africa goes live between South Africa and Kenya (14 Jun 2024); Meta Engineering, completion of the core 2Africa system (17 Nov 2025)",https://www.datacenterdynamics.com/en/news/2024-06-14/2africa-cable-goes-live-between-south-africa-and-kenya/; https://engineering.fb.com/,submarine-cables-landing-mombasa
Africa-1,,"Landed, RFS pending",,Mombasa,Telecom Egypt-led consortium,,"The cable has come ashore at Mombasa but its ready-for-service date has not been announced, so DC254 does not count it among the live systems yet.",2026-09,Medium,Africa-1 Submarine Cable System,https://www.africa-1.africa/,submarine-cables-landing-mombasa
Daraja,,Announced,,Mombasa (planned),"Meta-backed, hosted by Safaricom",,Announced October 2025 to run from Salalah in Oman to Mombasa with 24 fibre pairs. In development; does not change the live count.,2026-09,Medium,Safaricom (Daraja host),https://www.safaricom.co.ke,submarine-cables-landing-mombasa
LuLu,LuLu coastal cable system,Planned,,"Mombasa to Lamu coastal corridor: Vipingo SEZ, Kilifi, Malindi",INDOI Ltd (IOX) and Blue Trade Investments consortium,"Up to 60 Tbps per fibre pair, 144 pairs (announced)","Announced at ITW Africa 2026 (September 2026): a ~500 km coastal diversity route pairing a subsea span with a protected terrestrial path. Readiness-for-service target Q2 2028, subject to contract execution; no supplier named and construction not started at announcement.",2026-09,Medium,"IOX (INDOI Ltd), LuLu announcement at ITW Africa 2026",https://www.ioxcable.com,kenya-lulu-coastal-cable-system
