id,name,slug,status,city,region,country,itLoadMw,totalCapacityMw,rackCount,tierRating,facilityType,aiReady,carrierNeutral,openedDate,expansionDate,operatorId,operatorName,operatorType,operatorParent,lastVerified,dataConfidence,dataSource
1,iXAfrica NBOX1,ixafrica-nbox1,Operational,Nairobi,Nairobi County,Kenya,4.5,5,780,III,Hyperscale,true,true,2024,,ixafrica,,,,2026-09,High,iXAfrica website and press releases; PeeringDB register
6,iXAfrica NBOX1.2,ixafrica-nbox1-2,Under Construction,Nairobi,Nairobi County,Kenya,,18,,III,Hyperscale,true,true,,,ixafrica,,,,2026-09,Medium,iXAfrica press releases; Developing Telecoms; PeeringDB register
15,iXAfrica NBOX2 (Tilisi),ixafrica-tilisi,Committed,Nairobi,Kiambu County,Kenya,,53,,,Hyperscale,true,true,,,ixafrica,,,,2026-09,Medium,"iXAfrica campus announcements, DC254 editorial"
2,Africa Data Centres Nairobi 1 (NBO1),africa-dc-nairobi-1,Operational,Nairobi,Nairobi County,Kenya,,7.5,,III,Colocation,false,true,2019,,africa-dc,,,,2026-09,High,Africa Data Centres website; PeeringDB register
3,Africa Data Centres Nairobi 2 (planned expansion),africa-dc-nairobi-2,Under Construction,Nairobi,Nairobi County,Kenya,,15,,,Colocation,false,true,,,africa-dc,,,,2026-09,Medium,ADC press releases via DataCenterDynamics
4,Safaricom Data Centre (Waiyaki Way),safaricom-dc-waiyaki,Operational,Nairobi,Nairobi County,Kenya,1.5,2,120,III,Enterprise,false,false,2013,,safaricom,,,,2026-09,Medium,Safaricom Annual Reports; TechCabal
16,Safaricom Thika Data Centre,safaricom-thika,Operational,Thika,Kiambu County,Kenya,,,,III,Enterprise (sells colocation),false,false,,,safaricom,,,,2026-09,Medium,PeeringDB register; Uptime Institute directory; Safaricom
17,Safaricom Red Hill (Limuru) Campus,safaricom-red-hill,Operational,Limuru,Kiambu County,Kenya,,,,III,Enterprise,false,false,2025,,safaricom,,,,2026-09,Medium,Safaricom announcements; Uptime Institute directory
7,Microsoft–G42 AI Data Centre,microsoft-g42-ai-dc,Early Stage,Nairobi,Nairobi County,Kenya,,100,,,Hyperscale,true,,,,safaricom,,,,2026-09,Medium,"Semafor, Tom's Hardware, Business Daily"
18,Telkom Kenya: Milimani Exchange,telkom-milimani-nairobi,Operational,Nairobi,Nairobi County,Kenya,,,100,,Operator-owned (open access),false,false,,,telkom-ke,,,,2026-09,Medium,Telkom Kenya carrier-services page; PeeringDB register
19,Telkom Kenya: Telephone House (Nairobi),telkom-telephone-house-nairobi,Operational,Nairobi,Nairobi County,Kenya,,,,,Operator-owned,false,false,,,telkom-ke,,,,2026-09,Medium,PeeringDB register; Telkom Kenya
11,Liquid Nairobi Data Centre,liquid-nairobi,Operational,Nairobi,Nairobi County,Kenya,1,1.5,100,III,Colocation,false,true,2018,,liquid-ke,,,,2026-09,Medium,Liquid Intelligent Technologies website
20,iColo Nairobi One (NBO1),icolo-nbo1,Operational,Nairobi,Nairobi County,Kenya,,,280,,Colocation,false,true,2019,,icolo,,,,2026-09,High,iColo website; Digital Realty listing; PeeringDB register
21,iColo Nairobi Two (NBO2),icolo-nbo2,Operational,Nairobi,Nairobi County,Kenya,,6.5,,,Colocation,false,true,,,icolo,,,,2026-09,Medium,Capital FM / allAfrica launch coverage (7 Sep 2026); Developing Telecoms (Aug 2024); Digital Realty listing; PeeringDB register
22,iColo Mombasa One (MBA1),icolo-mba1,Operational,Mombasa,Mombasa County,Kenya,0.9,13,250,,Colocation,false,true,2017,,icolo,,,,2026-09,High,iColo website; PeeringDB register
23,iColo Mombasa Two (MBA2),icolo-mba2,Operational,Mombasa,Mombasa County,Kenya,1.75,,600,,Colocation,false,true,2022,,icolo,,,,2026-09,High,iColo website; PeeringDB register
24,PAIX Nairobi (NBO-1),paix-nairobi,Operational,Nairobi,Nairobi County,Kenya,,1.5,240,,Colocation,false,true,2020,,paix,,,,2026-09,High,PAIX website; PeeringDB register
25,Konza National Data Centre,konza-national-dc,Operational,Konza,Machakos County,Kenya,,,140,III,Government,false,false,,,kotda,,,,2026-09,Medium,Uptime Institute directory; PeeringDB; KoTDA
26,Telkom Kenya: Telephone House (Mombasa),telkom-telephone-house-mombasa,Operational,Mombasa,Mombasa County,Kenya,,,,,Operator-owned (cable landing),false,false,,,telkom-ke,,,,2026-09,Medium,PeeringDB register; Telkom Kenya
27,SEACOM Mombasa Cable Landing Station,seacom-mombasa-cls,Operational,Mombasa,Mombasa County,Kenya,,,,,Cable Landing Station,false,false,2009,,seacom,,,,2026-09,High,PeeringDB register; SEACOM
28,SimbaNET Nairobi,simbanet-nairobi,Operational,Nairobi,Nairobi County,Kenya,,,,,Operator-owned,false,false,,,simbanet,,,,2026-09,Medium,PeeringDB register; SimbaNET
13,Raxio Nairobi (unverified),raxio-nairobi,Early Stage,Nairobi,Nairobi County,Kenya,,,,,Colocation,false,true,,,raxio,,,,2026-09,Low,Raxio website (JS-gated); PeeringDB register (absence checked)
14,Septris Data Centre,septris-nairobi,Operational,Nairobi,Nairobi County,Kenya,0.3,0.5,40,II,Colocation,false,,2016,,septris,,,,2026-09,Low,Septris EO Ltd website
9,Global TS Data Centre,global-ts-nairobi,Operational,Nairobi,Nairobi County,Kenya,0.3,0.5,30,II,Colocation,false,,2015,,global-ts,,,,2026-09,Low,Operator website
10,Wananchi Group Data Centre,wananchi-nairobi,Operational,Nairobi,Nairobi County,Kenya,0.2,0.5,20,II,Enterprise,false,false,2012,,wananchi,,,,2026-09,Low,Wananchi Group website
29,Kenya Data Centres SME Facility,kenya-data-centres-sme,Early Stage,Nairobi,Nairobi County,Kenya,,,,,Colocation,false,,,,kenya-data-centres,,,,2026-09,Low,DC254 market outlook research
30,Nxtra by Airtel Tatu City,nxtra-tatu-city,Under Construction,Ruiru,Kiambu County,Kenya,,44,,,Hyperscale,true,,,2027,nxtra,,,,2026-09,Medium,Airtel Africa announcements; Data Centre Magazine (Sep 2025); EdgeX Exchange (Aug 2026); Kenya News Agency (Sep 2026)
31,Raxio Kampala UG1,raxio-kampala-ug1,Operational,Kampala,Central Region,Uganda,,,400,III,Colocation,false,true,2021,,raxio,,,,2026-09,High,Raxio Group launch release (25 May 2021); DataCenterDynamics (26 May 2021); datacentermap.com register
32,Uganda National Data Centre (NDC1),uganda-national-data-centre,Operational,Kampala,Central Region,Uganda,,,,,Government / Enterprise,false,false,,,nita-u,,,,2026-09,Medium,NITA-U releases (19 Jun 2025 market study); The Independent Uganda (23 Feb 2026)
33,Raxio Dar es Salaam TZ1,raxio-dar-es-salaam-tz1,Under Construction,Dar es Salaam,Dar es Salaam,Tanzania,,,,III,Colocation,false,true,,2026,raxio,,,,2026-09,Medium,Raxio Group (23 Mar 2022); DataCenterDynamics (23 Mar 2022); Energy News Network (13 Jul 2026); IFC disclosure register
34,Africa Data Centres Kigali KGL1,africa-data-centres-kigali-kgl1,Under Construction,Kigali,Kigali Province,Rwanda,,2,,,Colocation,false,true,,,africa-dc,,,,2026-09,Medium,Africa Data Centres / Cassava Technologies announcement (28 Nov 2022); DataCenterDynamics (28 Nov 2022); baxtel.com and inflect.com registers
